5021|-1 -1 -1 793 -1 -1 -1 -1 -1 -1 -1 -1 -1 746 -1 -1 -1 -1 -1 -1
6005|-1 -1 -1 799 -1 -1 -1 -1 -1 -1 -1 -1 -1 718 -1 -1 -1 -1 -1 -1
7002|-1 -1 -1 905 -1 -1 -1 -1 -1 -1 -1 -1 -1 811 -1 -1 -1 -1 -1 -1
8031|-1 -1 -1 715 -1 -1 -1 -1 -1 -1 -1 -1 -1 698 -1 -1 -1 -1 -1 -1
8048|-1 -1 -1 736 -1 -1 -1 -1 -1 -1 -1 -1 -1 661 -1 -1 -1 -1 -1 -1
9012|-1 -1 -1 799 -1 -1 -1 -1 -1 -1 -1 -1 -1 749 -1 -1 -1 -1 -1 -1
9038|-1 -1 -1 828 -1 -1 -1 -1 -1 -1 -1 -1 -1 736 -1 -1 -1 -1 -1 -1
10022|-1 -1 -1 845 -1 -1 -1 -1 -1 -1 -1 -1 -1 788 -1 -1 -1 -1 -1 -1
10028|-1 -1 838 802 -1 -1 -1 -1 -1 -1 -1 -1 702 690 -1 -1 -1 -1 -1 -1
10049|-1 -1 -1 698 -1 -1 -1 -1 -1 -1 -1 -1 -1 692 -1 -1 -1 -1 -1 -1
11012|-1 -1 -1 -1 738 -1 -1 -1 -1 -1 -1 -1 -1 -1 720 -1 -1 -1 -1 -1
11026|-1 -1 -1 603 -1 -1 -1 -1 -1 -1 -1 -1 -1 581 -1 -1 -1 -1 -1 -1
11030|-1 -1 -1 682 -1 -1 -1 -1 -1 -1 -1 -1 -1 672 -1 -1 -1 -1 -1 -1
11032|-1 -1 -1 -1 834 -1 -1 -1 -1 -1 -1 -1 -1 -1 769 -1 -1 -1 -1 -1
11037|-1 -1 899 817 -1 -1 -1 -1 -1 -1 -1 -1 880 803 -1 -1 -1 -1 -1 -1
11040|-1 -1 -1 829 -1 -1 -1 -1 -1 -1 -1 -1 -1 767 -1 -1 -1 -1 -1 -1
12002|-1 -1 -1 -1 688 -1 -1 -1 -1 -1 -1 -1 -1 -1 672 -1 -1 -1 -1 -1
12004|-1 -1 -1 594 -1 -1 -1 -1 -1 -1 -1 -1 -1 231 -1 -1 -1 -1 -1 -1
12007|-1 -1 -1 665 -1 -1 -1 -1 -1 -1 -1 -1 -1 550 -1 -1 -1 -1 -1 -1
12016|-1 -1 -1 -1 632 -1 -1 -1 -1 -1 -1 -1 -1 -1 603 -1 -1 -1 -1 -1
12045|-1 -1 -1 807 -1 -1 -1 -1 -1 -1 -1 -1 -1 750 -1 -1 -1 -1 -1 -1
12054|-1 -1 -1 755 -1 -1 -1 -1 -1 -1 -1 -1 -1 685 -1 -1 -1 -1 -1 -1
13005|-1 -1 -1 531 -1 -1 -1 -1 -1 -1 -1 -1 -1 516 -1 -1 -1 -1 -1 -1
13010|-1 -1 -1 -1 546 -1 -1 -1 -1 -1 -1 -1 -1 -1 542 -1 -1 -1 -1 -1
13031|-1 -1 -1 691 -1 -1 -1 -1 -1 -1 -1 -1 -1 645 -1 -1 -1 -1 -1 -1
13038|-1 -1 -1 -1 592 -1 -1 -1 -1 -1 -1 -1 -1 -1 585 -1 -1 -1 -1 -1
13054|-1 -1 -1 806 -1 -1 -1 -1 -1 -1 -1 -1 -1 715 -1 -1 -1 -1 -1 -1
13055|-1 -1 -1 814 -1 -1 -1 -1 -1 -1 -1 -1 -1 791 -1 -1 -1 -1 -1 -1
14004|-1 -1 -1 -1 425 -1 -1 -1 -1 -1 -1 -1 -1 -1 408 -1 -1 -1 -1 -1
14005|-1 -1 -1 726 -1 -1 -1 -1 -1 -1 -1 -1 -1 711 -1 -1 -1 -1 -1 -1
14009|-1 -1 -1 830 484 -1 -1 -1 -1 -1 -1 -1 -1 757 453 -1 -1 -1 -1 -1
14021|-1 -1 -1 845 -1 -1 -1 -1 -1 -1 -1 -1 -1 762 -1 -1 -1 -1 -1 -1
14022|-1 -1 -1 -1 811 -1 -1 -1 -1 -1 -1 -1 -1 -1 737 -1 -1 -1 -1 -1
14029|-1 -1 -1 777 -1 -1 -1 -1 -1 -1 -1 -1 -1 720 -1 -1 -1 -1 -1 -1
14030|-1 -1 -1 802 -1 -1 -1 -1 -1 -1 -1 -1 -1 753 -1 -1 -1 -1 -1 -1
14035|-1 -1 -1 692 -1 -1 -1 -1 -1 -1 -1 -1 -1 659 -1 -1 -1 -1 -1 -1
14046|-1 -1 -1 -1 348 -1 -1 -1 -1 -1 -1 -1 -1 -1 328 -1 -1 -1 -1 -1
14052|-1 -1 -1 627 -1 -1 -1 -1 -1 -1 -1 -1 -1 410 -1 -1 -1 -1 -1 -1
14053|-1 -1 -1 -1 880 -1 -1 -1 -1 -1 -1 -1 -1 -1 835 -1 -1 -1 -1 -1
15001|-1 -1 -1 622 -1 -1 -1 -1 -1 -1 -1 -1 -1 586 -1 -1 -1 -1 -1 -1
15004|-1 -1 -1 -1 610 -1 -1 -1 -1 -1 -1 -1 -1 -1 598 -1 -1 -1 -1 -1
15007|-1 -1 -1 -1 680 -1 -1 -1 -1 -1 -1 -1 -1 -1 652 -1 -1 -1 -1 -1
15013|-1 -1 -1 769 -1 -1 -1 -1 -1 -1 -1 -1 -1 722 -1 -1 -1 -1 -1 -1
15014|-1 -1 -1 900 -1 -1 -1 -1 -1 -1 -1 -1 -1 820 -1 -1 -1 -1 -1 -1
15016|-1 -1 -1 795 -1 -1 -1 -1 -1 -1 -1 -1 -1 760 -1 -1 -1 -1 -1 -1
15023|-1 -1 -1 782 335 -1 -1 -1 -1 -1 -1 -1 -1 652 34 -1 -1 -1 -1 -1
15039|-1 -1 -1 763 -1 -1 -1 -1 -1 -1 -1 -1 -1 703 -1 -1 -1 -1 -1 -1
15049|-1 -1 -1 587 -1 -1 -1 -1 -1 -1 -1 -1 -1 529 -1 -1 -1 -1 -1 -1
